,Project,LongName,Name,AD,CD,TCD,CLOC,TCLOC,PDA,TPDA,LLOC,LOC,TLOC,NG,TLLOC,TNA,TNG,TNM,TNOS,TNPM,NCL,ReuseRate,ReuseRate_lbl
516,org.apache.httpcomponents/httpclient,org.apache.hc.client5.http.config,config,-0.05555600000000005,0.12897210993418962,0.18377674815118472,-0.9904002501563477,-0.9970209937460276,-0.981100611450806,-0.9969876849472845,-0.9972759408338588,-0.9951615834267196,-0.9980656761960115,-0.9783491204330176,-0.9986972467298105,-0.9915544396256563,-0.9982415650071437,-0.9981204439816108,-0.9986554008067595,-0.9981525075240621,-0.9910414333706606,5.307617129104063,4
517,org.apache.httpcomponents/httpclient,org.apache.hc.client5.http.cookie,cookie,0.59375,0.4440715721269417,0.5141723473130335,-0.9762038774233897,-0.9926155577873843,-0.943301834352418,-0.9909630548418534,-0.9964809819332341,-0.9907169034133931,-0.9962887621538499,-0.9621109607577808,-0.9983170658143855,-0.995891349007076,-0.9969227387625014,-0.9973584618119936,-0.9981076011354393,-0.9970201734259067,-0.9843225083986562,5.307617129104063,4
518,org.apache.httpcomponents/httpclient,org.apache.hc.client5.http.entity,entity,0.53125,0.1796043912283285,0.03786795528264775,-0.9811131957473421,-0.9862694011421141,-0.9455252918287937,-0.9851156197395233,-0.9951454509801844,-0.9908986279795257,-0.9897441485948152,-0.9512855209742895,-0.9921429277478843,-0.9835653960283041,-0.9857127156830421,-0.98953544487059,-0.9900566059660364,-0.9893322208647457,-0.975363941769317,0.0,0
519,org.apache.httpcomponents/httpclient,org.apache.hc.client5.http.impl,impl,-0.349398,-0.04184650611955365,-0.381040251488893,-0.9766416510318949,-0.9345686020503714,-0.9699833240689272,-0.9406396739611943,-0.9907784767527519,-0.9860904988339341,-0.9192185210747454,-0.9675236806495264,-0.9140841821928328,-0.8272083999086967,-0.9520826464446642,-0.9272561022072083,-0.8923490645905613,-0.9342650257754999,-0.948488241881299,0.0,0
520,org.apache.httpcomponents/httpclient,org.apache.hc.client5.http.io,io,0.5,0.6164706321568498,0.6949403192325718,-0.991494684177611,-0.9973606198661873,-0.9833240689271817,-0.9973420749534863,-0.9991838421953585,-0.9970242602295787,-0.998810345453885,-0.9945872801082544,-0.9996096809268303,-1.0,-0.9995603912517859,-0.9992380178303828,-1.0,-0.999106052027772,-0.9977603583426652,5.307617129104063,4
521,org.apache.httpcomponents/httpclient,org.apache.hc.client5.http.nio,nio,-0.09999999999999998,0.2954102828413958,0.3582944686144496,-0.9942776735459662,-0.9982242405717363,-0.9899944413563091,-0.9984052449720918,-0.9988340602790836,-0.9974634279310658,-0.9989859178805381,-1.0,-0.9994424013240434,-1.0,-1.0,-0.9990348225851515,-0.99988380006972,-0.9988676659018445,-0.9955207166853304,5.0,4
522,org.apache.httpcomponents/httpclient,org.apache.hc.client5.http.protocol,protocol,-0.31034399999999995,-0.1274186289129987,-0.08506018096152523,-0.985897435897436,-0.9956236748516561,-0.9777654252362423,-0.9964560999379818,-0.9934177403028264,-0.9907320471272375,-0.9962948163754586,-0.9539918809201624,-0.9968521020202814,-0.9954348322300844,-0.9962633256401803,-0.9973584618119936,-0.9959994024003586,-0.9970797699573885,-0.9820828667413214,5.307617129104063,4
523,org.apache.httpcomponents/httpclient,org.apache.hc.client5.http.psl,psl,0.30434800000000006,-0.08943197350163945,-0.045229507537165925,-0.9926829268292683,-0.9977293567966464,-0.9833240689271817,-0.9973420749534863,-0.996830763849509,-0.995532604415907,-0.9982140046254253,-0.9837618403247632,-0.9984843454171726,-0.997945674503538,-0.9986811737553577,-0.998882426151228,-0.9976926013844392,-0.9989272624333264,-0.9910414333706606,5.307617129104063,4
524,org.apache.httpcomponents/httpclient,org.apache.hc.client5.http.routing,routing,0.14285799999999993,0.5093032565027389,0.5825706279501939,-0.9951532207629769,-0.9984959414678641,-0.9955530850472485,-0.9992912199875964,-0.9993852317835168,-0.9981751824817519,-0.9992704662961484,-1.0,-0.9997059934254047,-0.9984021912805295,-1.0,-0.9997968047547687,-0.9997344001593599,-0.9997616138740725,-0.9977603583426652,5.307617129104063,4
525,org.apache.httpcomponents/httpclient,org.apache.hc.client5.http.socket,socket,0.19999999999999996,0.41772046882356295,0.48654206034297887,-0.9949343339587242,-0.9984280162438322,-0.9933296275708727,-0.9989368299813945,-0.9992050410993751,-0.9979934579156192,-0.9991978156368436,-0.9972936400541272,-0.9996198190845751,-0.9997717416115042,-0.9997801956258929,-0.9996444083208453,-0.9998008001195199,-0.999582824279627,-0.9977603583426652,5.307617129104063,4
